q	FC = 0.5_t	FC = 1.0_t	FC = 2.0_t	FC = 0.5_s	FC = 1.0_s	FC = 2.0_s
0.001	0	0	0	3	2	1
0.004	0	0	0	3	2	1
0.006	1	1	0	5	4	2
0.009	1	1	0	8	5	2
0.011	1	1	0	10	6	2
0.014	2	2	0	10	6	2
0.016	2	2	0	12	8	3
0.019	2	2	0	12	8	3
0.022	2	2	0	12	8	3
0.024	3	2	0	13	9	3
0.027	3	2	0	15	9	3
0.029	3	2	0	15	9	3
0.032	3	2	0	15	9	3
0.035	3	2	0	16	9	3
0.037	3	2	0	16	9	3
0.04	3	2	0	18	10	3
0.042	3	2	0	18	10	3
0.045	3	2	0	18	10	3
0.047	3	2	0	18	10	3
0.05	3	2	0	21	12	4
